Название гостиницы;Район;Ближайшая станция метро;Адрес;Категория гостиницы;Инвестор;Оператор (бренд);Количество номеров;Дата ввода в эксплуатацию;Максимальная стоимость;Телефон;Услуги;Услуги в номере;Сайт;Электронный адрес;Кадастровый номер;Количество мест;Примечание;Источник данных;Муниципальное образование
"Амулет на Малой Морской";"Центральный";"Невский проспект/Гостиный двор";"г.Санкт-Петербург, Малая Морская улица, дом 7, литера А";"Мини-гостиница";"Амулет";"ГК "Амулет"";"7";"2004";"";"3154764, 5701732";"визовая поддержка, заказ такси, организация туров и экскурсий, бронирование и заказ билетов в театры, на концерты";"телефон, мини-бар, телевизор, фен, утюг, банные принадлежности, круглосуточное обслуживание в номере, душ, туалет";"http://www.amulet-hotels.ru/";"mailto: info@amulet-hotels.ru";"1095:11:05";"15";"";"Комитет по инвестициям";"муниципальный округ №78"
"B&B Адмиралтейская";"Центральный";"Невский проспект/Гостиный двор";"г.Санкт-Петербург, Малая Морская улица, дом 7, литера А";"Мини-гостиница";"B&B Адмиралтейская";"Randhouse";"3";"2003";"3 400";"5704597";"заказ такси, прачечная, химчистка, заказ авиа и ж/д билетов";"фен, утюг, халат, тапочки, банные принадлежности, гладильные принадлежности, рабочий стол, душ, ванная комната";"http://www.randhouse.ru/";"mailto: randhouse@mail.ru";"1095:11:05";"6";"";"Комитет по инвестициям";"муниципальный округ №78"
"Гостиница на Шевченко (СПБГУ общежитие)";"Василеостровский";"Приморская";"199406, г.Санкт-Петербург, улица Шевченко, дом 25, литера А";"Эконом класс";"ГОУ ВПО СПБГУ";"ГОУ ВПО СПБГУ";"320";"";"";"3550096";"нет";"интернет кабельный, утюг, гладильные принадлежности";"http://www.spbu.ru/candidate/studgorodok, http://www.campus.spbu.ru";"нет";"2108:05:44";"539";"";"Комитет по инвестициям";"муниципальный округ №9"
"Freedom";"Василеостровский";"Приморская";"199226, г.Санкт-Петербург, улица Нахимова, дом 7, корпус 2, литера А";"Мини-гостиница";"Freedom";"";"5";"2008";"3 200";"7166103";"автостоянка, камера хранения багажа, прачечная, химчистка, заказ авиа и ж/д билетов, бар, вызов такси, бар, сейф, заказ и бронирование билетов в театры, spa-комплекс";"кондиционер, радио, телефон, телевизор, кабельное ТВ, видео, интернет кабельный, интернет Wi-Fi, фен, утюг, холодильник, тапочки, банные принадлежности, гладильные принадлежности, круглосуточное обслуживание в номере, размещение домашних животных, рабочий";"http://www.freedom-hotel.ru";"mailto: freedomm7@rambler.ru";"2201:9:69";"12";"";"Комитет по инвестициям";"муниципальное образование округ Морской"
"Дом Балтика";"Василеостровский";"Приморская";"г.Санкт-Петербург, улица Нахимова, дом 1, литера А";"Мини-гостиница";"Дом Балтика"";"";"13";"2003";"2 200";"3550523";"кухня, сейф, регистрация иностранных граждан";"телевизор, фен, утюг, холодильник, банные принадлежности, гладильные принадлежности, душ, туалет, ванная комната, звонок-"будильник"/будильник";"нет";"нет";"2201Б:0:34";"40";"";"Комитет по инвестициям";"муниципальное образование округ Морской"
"Отель Международных и деловых контактов";"Василеостровский";"Приморская";"199406, г.Санкт-Петербург, Опочинина улица, дом 16, литера А";"Мини-гостиница";"Отель Международных и деловых контактов";"";"9";"2009";"3 100";"7158151";"автостоянка, заказ такси, сейф, spa-центр, химчистка, прачечная";"сейф, кондиционер, телефон, мини-бар, телевизор, спутниковое ТВ, интернет Wi-Fi, фен, халат, рабочий стол, ванная комната, тапки";"http://www.mdk-hotel.spb.ru/";"mailto: info@mdk-hotel.spb.ru";"2118:00:08";"18";"";"Комитет по инвестициям";"муниципальный округ №9"
"Моне";"Василеостровский";"Приморская";"199155, г.Санкт-Петербург, Морская набережная, дом 17, корпус 2, литера А";"Мини-гостиница";"Моне";"";"6";"2006";"3 200";"4989958, 974 7720";"рестораны, заказ такси, заказ авиа и ж/д билетов, организация туров и экскурсий, бронирование и заказ билетов в театры, на концерты";"телевизор, банные принадлежности, рабочий стол, мини-холодильник, чайник";"http://www.hotelmone.ru";"mailto: hotelmonet@rambler.ru";"2204:00:35";"11";"";"Комитет по инвестициям";"муниципальное образование округ Морской"
"Капитанская";"Василеостровский";"Приморская";"199155, г.Санкт-Петербург, Капитанская улица, дом 3, литера А";"Эконом класс";"СПбГУ";"";"110";"1988";"";"352-24-28";"нет";"кондиционер, телефон, мини-бар, телевизор, интернет кабельный, интернет Wi-Fi, утюг, холодильник, халат, тапочки, банные принадлежности, гладильные принадлежности, рабочий стол, душ, ванна, туалет, кофеварка/электрический чайник, звонок-"будильник"/будиль";"http://www.spbu.ru/candidate/studgorodok,  http://www.campus.spbu.ru";"mailto: hotel@kapitanskaya.ru";"2203:00:32";"490";"";"Комитет по инвестициям";"муниципальный округ Остров Декабристов"
"Club MarInn";"Василеостровский";"Приморская";"199155, г.Санкт-Петербург, Морская набережная, дом 31, корпус 2, литера А";"Мини-гостиница";"Club MarInn";"";"9";"2005";"3 100";"3037704";"аренда конференц-залов, визовая поддержка, автостоянка, заказ такси, камера хранения багажа, заказ авиа и ж/д билетов, организация туров и экскурсий, бронирование и заказ билетов в театры, на концерты";"телефон, телевизор, кабельное ТВ, интернет кабельный, фен, холодильник, ванная комната";"http://www.clubmarin.ru/";"mailto: hotel@clubmarin.ru";"2203:00:47";"21";"";"Комитет по инвестициям";"муниципальный округ Остров Декабристов"
"Мини-отель на пр. Кима";"Василеостровский";"Приморская";"199057, г.Санкт-Петербург, проспект КИМа, дом 26, литера Б";"Мини-гостиница";"Мини-отель на пр. Кима";"";"5";"2008";"2 900";"3500172";"аренда автомобилей, вызов такси";"телевизор, кабельное ТВ, мини-холодильник, чайник";"http://www.miniotel.frhall.info";"нет";"2206А:0:26";"8";"";"Комитет по инвестициям";"муниципальный округ Остров Декабристов"
"Люко";"Василеостровский";"Приморская";"г.Санкт-Петербург, Наличная улица, дом 44, корпус 2, литера А";"Эконом класс";"Люко";"";"16";"2004";"";"3523600";"визовая поддержка, заказ такси, заказ авиа и ж/д билетов, организация туров и экскурсий, бронирование и заказ билетов в театры, на концерты, бар, прачечная";"кондиционер, телефон, телевизор, кабельное ТВ, фен, холодильник, банные принадлежности, интернтет Wi-Fi";"http://www.hotelluko.spb.ru";"mailto: hotelluko@km.ru";"2202:2004:130";"32";"";"Комитет по инвестициям";"муниципальный округ Остров Декабристов"
"Евразия";"Петроградский";"Чкаловская";"197136, г.Санкт-Петербург, Гатчинская улица, дом 5, литера А";"3*";"Группа Отелей Евразия";"Группа Отелей Евразия";"19";"2003";"4 900";"4980800";"визовая поддержка, камера хранения багажа, организация туров и экскурсий";"сейф, телефон, телевизор, видео, интернет Wi-Fi, звонок-«будильник»/ Будильник, круглосуточное обслуживание в номере, кухня, рабочий стол, душ, туалет, ванная комната";"http://www.eurasia-hotel.ru/";"mailto: eurasia@eurasia-hotel.ru";"3107:07:28";"38";"";"Комитет по инвестициям";"муниципальный округ №62"
"Кронверк";"Петроградский";"Спортивная";"197198, г.Санкт-Петербург, улица Блохина, дом 9, литера А";"Апартамент-отель";"Кронверк";"";"26";"2004";"";"79857637531";"автостоянка, аренда конференц-залов, заказ такси, заказ авиа и ж/д билетов, бронирование и заказ билетов в театры, на концерты";"телевизор, кондиционер, рабочий стол, телефон, ванная комната, холодильник, фен, интернет Wi-Fi";"http://www.kronverk.com/ru";"mailto: office@kronverk.com";"3040:03:39";"52";"";"Комитет по инвестициям";"муниципальный округ Введенский"
"Отель-кафе Тайм-аут";"Курортный";"Старая Деревня";"197706, Санкт-Петербург, г. Сестрорецк, пляж Северный, д.2";"3*";"ТаймАут";"";"11";"2003";"3 400";"3376776, 3465220";"рестораны, автостоянка, заказ такси, камера хранения багажа, прачечная, химчистка";"сейф, кондиционер, радио, телефон, телевизор, фен, утюг, холодильник, кофеварка/ электрический чайник, звонок-«будильник»/ Будильник, рабочий стол, душ, туалет";"http://www.timeoutspb.ru/";"нет";"";"22";"";"Комитет по инвестициям";""
"Скандинавия";"Курортный";"Старая Деревня";"Санкт-Петербург, город Сестрорецк, Парковая улица, дом 16, литера Б";"4*";"Скандинавия";"";"76";"2001";"8 000";"4341100";"аренда конференц-залов, аренда автомобилей, услуги бизнес-центра, рестораны, автостоянка, заказ такси, фитнес-клуб, салон красоты, камера хранения багажа, прачечная, химчистка, организация туров и экскурсий, spa-комплекс, детская комната, кондитерская";"сейф, кондиционер, телефон, мини-бар, телевизор, спутниковое ТВ, видео, интернет Wi-Fi, фен, утюг, холодильник, кофеварка/ электрический чайник, халат, тапочки, банные принадлежности, гладильные принадлежности, звонок-«будильник»/ Будильник, круглосуточно";"http://www.skandinavia.ru";"mailto: skandinavia@skandinavia.ru";"11125В:1:21";"122";"";"Комитет по инвестициям";"город Сестрорецк"
"Тарховский военный санаторий";"Курортный";"Старая Деревня";"Санкт-Петербург, город Сестрорецк, Тарховский проспект, дом 24, литера А";"Пансионат";"ГУ "Тарховский военный санаторий"";"";"280";"";"1 200";"4371581, 4376511";"автостоянка, заказ такси, бильярд, теннисный корт, дискотека, сауна";"телевизор";"http://www.812tarhovka.ru";"mailto: info@812tarhovka.ru";"11225:0:45";"505";"";"Комитет по инвестициям";"город Сестрорецк"
"Крона";"Курортный";"Проспект Просвещения";"Санкт-Петербург, поселок Песочный, улица Карла Маркса, дом 58, литера А";"3*";"Крона";"";"30";"2003";"3 400";"5966412, 596 6449";"автостоянка, заказ такси, заказ авиа и ж/д билетов, бильярд, кафе, русская баня";"телевизор, фен, утюг, холодильник, рабочий стол, душ, туалет, ванная комната";"http://www.hotelkrona.narod.ru";"mailto: home_krona@mail.ru ";"21307:4:34";"60";"";"Комитет по инвестициям";"поселок Песочный"
"Форт Р";"Выборгский";"Озерки";"194362, Санкт-Петербург, поселок Парголово, улица Шишкина, дом 64, корпус 2, литера А";"Мини-гостиница";"Форт Р";"";"6";"2007";"2 800";"5974612, 5974746, 5974704, 9216535";"рестораны, заказ такси, фитнес-клуб, салон красоты, камера хранения багажа, fавтостоянка";"кондиционер, телефон, телевизор, ,банные принадлежности";"http://www.fortr.ru/";"mailto: fortr@yandex.ru";"13224:4:153";"13";"";"Комитет по инвестициям";"поселок Парголово"
"Ретур";"Курортный";"Старая Деревня";"Санкт-Петербург, город Сестрорецк, Большая Купальная улица, дом 28, литера А";"Эконом класс";"Ретур";"";"28";"2000";"3 200";"4377533, 4345022";"рестораны, заказ такси, сауна, бар, бассейн, бильярд, теннисный корт";"телефон, телевизор, душ, туалет";"http://www.retur-motel.ru";"mailto: reception@retur-motel.ru";"11353:10:1";"76";"";"Комитет по инвестициям";"город Сестрорецк"
"Черное и белое";"Курортный";"Старая Деревня";"Санкт-Петербург, город Сестрорецк, Приморское шоссе, дом 238, литера А";"Мини-гостиница";"“Черное и Белое”";"";"7";"2006";"3 100";"4347188";"аренда автомобилей, визовая поддержка, услуги бизнес-центра, рестораны, автостоянка, заказ такси, фитнес-клуб, салон красоты, сувенирные магазины, камера хранения багажа, прачечная, химчистка, заказ авиа и ж/д билетов, организация туров и экскурсий, брони";"телефон, телевизор, спутниковое ТВ, банные принадлежности, звонок-«будильник»/ будильник, круглосуточное обслуживание в номере, рабочий стол, душ, ванна, туалет";"http://www.kafeotel.ru";"нет";"11357:24:45";"14";"";"Комитет по инвестициям";"город Сестрорецк"
"Лисья нора";"Приморский";"Старая Деревня";"Санкт-Петербург, поселок Лисий Нос, Ленинградское шоссе, дом 38, литера А";"Мини-гостиница";"Лисья нора";"";"4";"2001";"5 000";"4348759";"рестораны, автостоянка, заказ такси, сувенирные магазины, камера хранения багажа, прачечная, химчистка, заказ авиа и ж/д билетов, организация туров и экскурсий, бронирование и заказ билетов в театры, на концерты";"кондиционер, радио, телефон, телевизор, спутниковое ТВ, интернет Wi-Fi, круглосуточное обслуживание в номере, рабочий стол, туалет, ванная комната";"http://www.lisyanora.spb.ru/";"mailto: lisyanora@inbox.ru";"4441А:16:22";"10";"";"Комитет по инвестициям";"поселок Лисий Нос"
"База отдыха ГП "Интерьер"";"Приморский";"Старая Деревня";"189645, Санкт-Петербург, поселок Лисий Нос, Деловая улица, дом 17/18, литера А-а7";"Эконом класс База отдыха";"";"";"24";"1974";"";"4349789";"визовая поддержка, услуги бизнес-центра, рестораны";"";"нет";"";"4418:03:03";"0";"";"Комитет по инвестициям";"поселок Лисий Нос"
"Старая подкова";"Приморский";"Старая Деревня";"г.Санкт-Петербург, Ольгино, Советская улица, дом 21, литера А";"Мини-гостиница";"Старая Подкова";"";"4";"2000";"6 000";"4983201";"автостоянка, заказ такси, камера хранения багажа, прачечная, химчистка";"телефон, телевизор, фен, утюг, кофеварка/ электрический чайник, душ, туалет";"http://www.asiaspa.ru/kontakti.html";"mailto: info@asiaspa.ru";"4333:13:23";"8";"";"Комитет по инвестициям";"муниципальное образование Лахта-Ольгино"
"Ольгино";"Приморский";"Старая Деревня";"г.Санкт-Петербург, Приморское шоссе, дом 4, корпус 2, литера Т";"3*";"Ольгино";"";"215";"1980";"3 580";"6330205";"аренда конференц-залов, рестораны, автостоянка, заказ такси, фитнес-клуб, салон красоты, сувенирные магазины, камера хранения багажа, заказ авиа и ж/д билетов, организация туров и экскурсий, услуги бизнес центра, прачечная химчистка, бронирование и заказ";"сейф, кондиционер, радио, телефон, голосовая почта, мини-бар, телевизор, фен, круглосуточное обслуживание в номере, размещение домашних животных, рабочий стол, туалет, ванная комната, спутниковое тв, интернет WiFi, халат тапочки банные принадлежности, зво";"http://www.hotel-olgino.spb.ru/";"mailto: info@hotel-olgino.spb.ru";"4382:26:34";"500";"";"Комитет по инвестициям";"муниципальное образование Лахта-Ольгино"
"Гостинично-развлекательный комплекс "Коломяжский Визит"";"Приморский";"Озерки";"г.Санкт-Петербург, Чистяковская улица, дом 4/6";"4*";"К - Визит";"Гостинично-ресторанный комплекс "Коломяжский Визит"";"100";"2003";"3 500";"3047824";"аренда конференц-залов, услуги бизнес-центра, рестораны, автостоянка, заказ такси, фитнес-клуб, салон красоты, сувенирные магазины, камера хранения багажа, прачечная, химчистка, заказ авиа и ж/д билетов, организация туров и экскурсий, бронирование и заказ";"сейф, кондиционер, радио, телефон, мини-бар, телевизор, спутниковое ТВ, интернет Wi-Fi, фен, халат, тапочки, банные принадлежности, звонок-«будильник»/ Будильник, круглосуточное обслуживание в номере, размещение домашних животных, рабочий стол, туалет, ва";"http://www.k-vizit.com/";"mailto: hotel@k-vizit.com/";"";"231";"";"Комитет по инвестициям";""
"Старая деревня";"Приморский";"Комендантский проспект";"г.Санкт-Петербург, Богатырский проспект, дом 32, корпус 1, литера А";"Мини-гостиница";"Старая Деревня";"";"7";"2007";"1 500";"3004005";"автостоянка, заказ такси, камера хранения багажа, прачечная, химчистка, заказ авиа и ж/д билетов, организация туров и экскурсий, бронирование и заказ билетов в театры, на концерты";"сейф, кондиционер, радио, телефон, голосовая почта, телевизор, спутниковое ТВ, интернет Wi-Fi, халат, тапочки, банные принадлежности, звонок-«будильник»/ Будильник, круглосуточное обслуживание в номере, размещение домашних животных, рабочий стол, туалет,";"http://www.hotel-amata.ru/";"mailto: zakaz@hotel-amata.ru";"4137А:11:29";"16";"";"Комитет по инвестициям";"муниципальный округ №65"
"На Авиаконструкторов";"Приморский";"Комендантский проспект";"г.Санкт-Петербург, проспект Авиаконструкторов, дом 23, корпус 1, литера А";"Эконом класс";"САНКТ-ПЕТЕРБУРГСКИЙ ИНСТИТУТ УПРАВЛЕНИЯ И ПИЩЕВЫХ ТЕХНОЛОГИЙ, гостиница";"Санкт-Петербургский институт управления и пищевых технологий";"24";"1990";"1 400";"3073341";"автостоянка, заказ такси, камера хранения багажа, прачечная, химчистка, заказ авиа и ж/д билетов, организация туров и экскурсий, бронирование и заказ билетов в театры, на концерты";"радио, телефон, телевизор, рабочий стол, туалет, ванная комната";"нет";"нет";"4127А:0:55";"120";"";"Комитет по инвестициям";"муниципальное образование Юнтолово"
"Валерия";"Приморский";"Комендантский проспект";"197349, г.Санкт-Петербург, 2-я Никитинская улица, дом 63, литера А";"Мини-гостиница";"К - Визит";"Гостинично-ресторанный комплекс "Коломяжский Визит"";"7";"2003";"3 400";"3 031 140";"заказ авиа и ж/д билетов, организация туров и экскурсий, автостоянка,камера хранения багажа, бронирование и заказ билетов в театры на концерты";"мини-бар, телевизор, фен, круглосуточное обслуживание в номере, туалет, ванная комната, кондиционер телефон, спутниковое тв, интернет WiFi, халат тапочки банные принадлежности,  рабочий стол";"http://www.k-vizit.com/";"mailto: k-visit.spb@mail.ru";"4121Г:29:49";"14";"";"Комитет по инвестициям";"муниципальное образование Юнтолово"
"Айседора";"Выборгский";"Проспект Просвещения";"194356, г.Санкт-Петербург, проспект Просвещения, дом 27, литера А";"Мини-гостиница";"Айседора";"";"6";"2010";"3 500";"5950824";"автостоянка, заказ такси, камера хранения багажа";"сейф, кондиционер, телевизор, фен, утюг, холодильник, кофеварка/ электрический чайник, гладильные принадлежности, звонок-«будильник»/ Будильник, рабочий стол, душ, туалет";"http://www.isadorahotel.ru/";"mailto: isadorahotel@gmail.com";"5517:34:04";"12";"";"Комитет по инвестициям";"муниципальный округ №16"
"Айседора";"Выборгский";"Проспект Просвещения";"194356, г.Санкт-Петербург, улица Есенина, дом 30, литера А";"Мини-гостиница";"Айседора";"";"6";"2009";"2 400";"9829029, 5950824";"автостоянка, заказ такси, прачечная, химчистка";"телефон, телевизор, фен, утюг, кухня, туалет";"http://www.isadorahotel.ru/";"mailto: isadorahotel@gmail.com";"5517:00:05";"12";"";"Комитет по инвестициям";"муниципальный округ №16"
"Северная";"Выборгский";"Проспект Просвещения";"194291, г.Санкт-Петербург, проспект Просвещения, дом 45, литера Б";"Эконом класс";"Северная";"";"340";"2008";"";"5989404";"автостоянка, кафе";"телевизор";"http://www.spbmapo.ru/, http://severnaya.spbmapo.ru";"нет";"5526:02:05";"1010";"";"Комитет по инвестициям";"муниципальный округ №15"
"Хостел Земля-Тур";"Выборгский";"Проспект Просвещения";"г.Санкт-Петербург, проспект Энгельса, дом 129, корпус 4, литера А";"Эконом класс";"Земля-Тур";"";"47";"2003";"";"5161998";"кафе";"телевизор, кабельное ТВ, ванная комната";"http://www.zemtour.ru/";"mailto: zemtour@mail.ru";"5517:24:22";"164";"";"Комитет по инвестициям";"муниципальный округ №16"
"Лель";"Выборгский";"Проспект Просвещения";"г.Санкт-Петербург, проспект Луначарского, дом 41, литера А";"Эконом класс";"ГОУ СПб ЦПО";"";"25";"1993";"2 500";"5599685";"аренда конференц-залов, автостоянка, заказ авиа и ж/д билетов, кафе, вызов такси, прачечная";"телевизор, кабельное ТВ, интернет Wi-Fi, ванная комната, звонок-"будильник"";"http://www.hotel-lel.ru";"mailto:lel@spbcpo.ru";"5534:07:11";"57";"";"Комитет по инвестициям";"муниципальное образование Сосновское"
"Гриф";"Выборгский";"Проспект Просвещения";"194295, г.Санкт-Петербург, проспект Просвещения, дом 33, корпус 1, литера А";"3*";"Аврора";"";"18";"1905";"3 400";"4490080";"автостоянка, заказ такси, кафе, аренда лодок";"сейф, кондиционер, телевизор, спутниковое ТВ, интернет Wi-Fi, фен, утюг, банные принадлежности, рабочий стол, ванная комната, звонок-"будильник"/будильник";"http://www.auroraclub.ru";"mailto: alena@auroraclub.ru";"5518:00:39";"45";"";"Комитет по инвестициям";"муниципальный округ №16"
"Озерки";"Выборгский";"Озерки";"194354, г.Санкт-Петербург, Учебный переулок, дом 2, литера А";"Мини-гостиница";"Озерки";"";"12";"2003";"3 400";"5906414, 5906515, 5906096";"визовая поддержка, заказ такси, камера хранения багажа, электронный ключ";"телефон, телевизор, кабельное ТВ, интернет Wi-Fi, фен, гладильные принадлежности, душ, туалет";"http://www.hotel-ozerki.ru/";"mailto:mail@hotel-ozerki.ru";"5530:00:40";"24";"";"Комитет по инвестициям";"муниципальное образование Сосновское"
"Интурион";"Выборгский";"Парнас";"194355, г.Санкт-Петербург, улица Композиторов, дом 24, корпус 1, литера А";"Мини-гостиница";"Интурион";"";"8";"1997";"2 500";"5704731";"визовая поддержка, автостоянка, заказ такси, организация туров и экскурсий, бронирование и заказ билетов в театры, на концерты, химчистка";"сейф, кондиционер, телефон, телевизор, спутниковое ТВ, интернет Wi-Fi, фен, утюг, холодильник, халат, банные принадлежности, гладильные принадлежности, звонок-«будильник»/ Будильник, кухня, рабочий стол, ванная комната";"http://www.intourion.com/";"mailto:admin@intourion.com";"5506:00:08";"15";"";"Комитет по инвестициям";"муниципальное образование Шувалово-Озерки"
"Лебедушка";"Выборгский";"Удельная";"г.Санкт-Петербург, проспект Энгельса, дом 30, литера А";"Эконом класс";"Лебедушка";"Лебедушка";"30";"2008";"2 500";"2943234, ф: 2942969";"заказ такси, камера хранения багажа, организация туров и экскурсий, бронирование и заказ билетов в театры, на концерты, кафе";"радио, телефон, телевизор, интернет Wi-Fi, фен, утюг, душ, туалет";"http://www.lhotel.spb.ru/";"mailto: info@lhotel.spb.ru";"5313:01:01";"58";"";"Комитет по инвестициям";"муниципальное образование Светлановское"
"ФГУП Гостиничный комплекс "Наука"";"Выборгский";"Удельная";"г.Санкт-Петербург, проспект Энгельса, дом 65, литера А";"Эконом класс";"ФГУП "Гостиничный комплекс "Наука"";"ФГУП "Гостиничный комплекс "Наука"";"93";"1994";"";"2938455";"кафе, кабинет врача-стоматолога";"телефон, телевизор, кабельное ТВ, холодильник, туалет, ванная комната";"http://www.hotel-nauka.ru/";"mailto: hotel-nauka@mail.ru";"5356А:7:40";"229";"";"Комитет по инвестициям";"муниципальное образование Светлановское"
"ФГУП Гостиничный комплекс "Наука"";"Выборгский";"Площадь Мужества";"г.Санкт-Петербург, проспект Тореза, дом 37, корпус 2, литера А";"Эконом класс";"ФГУП "Гостиничный комплекс "Наука"";"";"32";"1964";"";"2975362";"кафе";"телевизор, кабельное ТВ, холодильник, туалет";"нет";"нет";"5361:02:44";"85";"";"Комитет по инвестициям";"муниципальное образование Светлановское"
"Спутник";"Выборгский";"Площадь Мужества";"194021, г.Санкт-Петербург, проспект Тореза, дом 36, литера А";"3*";"Спутник-1";"";"220";"1964";"3 400";"5525632, 5528412, 5528213";"аренда конференц-залов, визовая поддержка, автостоянка, заказ такси, камера хранения багажа, прачечная, химчистка, заказ авиа и ж/д билетов, организация туров и экскурсий, бронирование и заказ билетов в театры, на концерты, кафе";"сейф, кондиционер, телевизор, спутниковое ТВ, интернет Wi-Fi, фен, утюг, холодильник, халат, банные принадлежности, гладильные принадлежности, рабочий стол, ванная комната, звонок-"будильник"/будильник";"http://www.sputnik-hotel.ru";"mailto: info@sputnik-hotel.ru";"5367А:7:23";"360";"";"Комитет по инвестициям";"муниципальное образование Светлановское"
"Светлана";"Выборгский";"Удельная";"г.Санкт-Петербург, проспект Энгельса, дом 34, литера В";"Мини-гостиница";"Завод Светлана ОСР"";"";"32";"1987";"";"5541483";"услуги бизнес-центра, автостоянка, заказ такси, камера хранения багажа, прачечная, химчистка, заказ авиа и ж/д билетов, организация туров и экскурсий, бронирование и заказ билетов в театры, на концерты, кафе";"телефон, гладильные принадлежности";"нет";"нет";"5313:03:05";"90";"";"Комитет по инвестициям";"муниципальное образование Светлановское"
"Хостел на Вавиловых при Санкт-Петербургском Торгово-экономическом институте";"Калининский";"Академическая";"195257, г.Санкт-Петербург, улица Вавиловых, дом 10, корпус 3, литера А";"Эконом класс";"СПбТЭИ";"";"108";"";"1 600";"5552344";"кафе, комната отдыха";"гладильные принадлежности";"нет";"нет";"5216А:11:48";"223";"";"Комитет по инвестициям";"муниципальное образование округ Академический"
"Гостиница "ЗАО Петербург Стройсервис"";"Калининский";"Академическая";"195220, г.Санкт-Петербург, Гражданский проспект, дом 22, литера А";"3* Мини-гостиница";"";"";"30";"";"";"5348545";"услуги бизнес-центра, рестораны, заказ такси, фитн";"";"нет";"";"5208:01:35";"0";"";"Комитет по инвестициям";"муниципальное образование Гражданка"
"Ручьи";"Красногвардейский";"Площадь Мужества";"г.Санкт-Петербург, Пискаревский проспект, дом 147, корпус 2, литера Б";"Эконом класс";"Ручьи";"";"19";"";"1 800";"4931910";"заказ такси, кафе";"сейф, кондиционер, телефон, телевизор, кабельное ТВ, видео, интернет кабельный, интернет Wi-Fi, фен, утюг, холодильник, халат, тапочки, банные принадлежности, гладильные принадлежности, круглосуточное обслуживание в номере, рабочий стол, ванная комната, к";"нет";"нет";"5606:56:51";"42";"";"Комитет по инвестициям";"муниципальный округ №32 (Полюстрово)"
"Медвежий угол";"Калининский";"Академическая";"г.Санкт-Петербург, улица Руставели, дом 31а, литера А";"Эконом класс Мини-гостиница";"";"";"7";"";"";"2982729";"ресторан, заказ такси, автостоянка";"";"нет";"";"5223:14:01";"0";"";"Комитет по инвестициям";"муниципальное образование Пискарёвка"
"Акме";"Центральный";"Невский проспект";"г.Санкт-Петербург, Малая Морская улица, дом 7, литера А";"Мини-гостиница";"Акме";"Акме";"7";"2007";"4 200";"6002080";"автостоянка, прачечная, химчистка";"телефон, телевизор, видео, интернет Wi-Fi, фен, утюг, холодильник, кофеварка/ электрический чайник, кухня, рабочий стол, душ, ванна, туалет, ванная комната";"http://www.acme-hotel.com/";"mailto: info@acme-hotel.com";"1095:11:05";"14";"";"Комитет по инвестициям";"муниципальный округ №78"
"Арт-отель Треззини";"Василеостровский";"Василеостровская";"199004, г.Санкт-Петербург, 6-я линия В.О., дом 11, литера Д";"3* Мини-гостиница";"";"";"17";"2006";"";"323 32 35";"аренда автомобилей,визовая поддержка,услуги бизне";"";"http://www.trezzini-hotel.com/";"";"2026:0:100";"0";"";"Комитет по инвестициям";"муниципальный округ №7"
"Шарф";"Петроградский";"Спортивная";"г.Санкт-Петербург, Малый проспект П.С., дом 16, литера А";"3*";"Профиль";"";"25";"2010";"5 700";"3205236";"рестораны, автостоянка, заказ такси, прачечная, химчистка, заказ авиа и ж/д билетов, организация туров и экскурсий, бронирование и заказ билетов в театры, на концерты";"сейф, кондиционер, телефон, голосовая почта, телевизор, кабельное ТВ, фен, утюг, холодильник, кофеварка/ электрический чайник, банные принадлежности, звонок-«будильник»/ Будильник, кухня, посудомоечная, стиральная, микроволновая";"http://www.sharfhotel.ru";"mailto: Info@SharfHotel.ru";"3151:04:31";"35";"";"Комитет по инвестициям";"муниципальный округ №62"
"Sokos Hotel Vasilievsky";"Василеостровский";"Василеостровская";"г.Санкт-Петербург, 8-я линия В.О., дом 11-13, литера Л";"4*";"Отель Плюс";"Sokos Hotel (Sokos)";"255";"2008";"7 000";"3352290";"аренда конференц-залов, услуги бизнес-центра, рестораны, автостоянка, заказ такси, фитнес-клуб, камера хранения багажа, прачечная, химчистка, заказ авиа и ж/д билетов, организация туров и экскурсий, сауна, лобби-бар";"сейф, телефон, телевизор, интернет Wi-Fi, фен, утюг, холодильник, кофеварка/ электрический чайник, звонок-«будильник»/ Будильник, рабочий стол, душ, туалет, ванная комната";"http://www.sokoshotels.com/";"mailto: info@shotels.ru";"2033:09:52";"550";"";"Комитет по инвестициям";"муниципальный округ №7"
"Courtyard by Marriott Васильевский";"Василеостровский";"Василеостровская";"г.Санкт-Петербург, 2-я линия В.О., дом 61/30, литера А";"4*";"БСК-65";"Marriott International (Courtyard by Marriott)";"214";"2008";"9 000";"3804011, 3804022";"аренда конференц-залов, визовая поддержка, услуги бизнес-центра, рестораны, автостоянка, заказ такси, фитнес-клуб, камера хранения багажа, прачечная, химчистка, заказ авиа и ж/д билетов, организация туров и экскурсий, бронирование и заказ билетов в театры";"сейф, кондиционер, телефон, голосовая почта, телевизор, спутниковое ТВ, кабельное ТВ, видео, интернет кабельный, фен, утюг, холодильник, кофеварка/ электрический чайник, халат, тапочки, банные принадлежности, гладильные принадлежности, звонок-«будильник»/";"http://www.courtyardsaintpetersburg.ru ";"нет";"2016:01:02";"430";"";"Комитет по инвестициям";"муниципальный округ Васильевский"
